======================
========== BEGIN TASK ==========
.
.
.
.
. CinemaId: 0000001001 || Cinema Name: Major Cineplex Ratchayothin
. On progress branch : 1/154
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252098 || Showtimes: 2019-01-18T18:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 252099 || Showtimes: 2019-01-18T21:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251813 || Showtimes: 2019-01-31T13:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251814 || Showtimes: 2019-01-31T15:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251815 || Showtimes: 2019-01-31T18:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251816 || Showtimes: 2019-01-31T20:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251817 || Showtimes: 2019-01-31T23:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251823 || Showtimes: 2019-02-01T13:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251824 || Showtimes: 2019-02-01T15:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251825 || Showtimes: 2019-02-01T18:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251826 || Showtimes: 2019-02-01T20:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251827 || Showtimes: 2019-02-01T23:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251839 || Showtimes: 2019-02-02T13:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251840 || Showtimes: 2019-02-02T15:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251841 || Showtimes: 2019-02-02T18:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251842 || Showtimes: 2019-02-02T20:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251843 || Showtimes: 2019-02-02T23:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251855 || Showtimes: 2019-02-03T13:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251856 || Showtimes: 2019-02-03T15:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251857 || Showtimes: 2019-02-03T18:00:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251858 || Showtimes: 2019-02-03T20:30:00
>>> Theatre Name: 4DX || Theatre Number: 11 || SessionId: 251859 || Showtimes: 2019-02-03T23:00:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252025 || Showtimes: 2019-01-17T16:40:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252026 || Showtimes: 2019-01-17T19:30:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252027 || Showtimes: 2019-01-17T22:20:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252100 || Showtimes: 2019-01-18T12:20:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252101 || Showtimes: 2019-01-18T15:10:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252102 || Showtimes: 2019-01-18T18:00:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252103 || Showtimes: 2019-01-18T20:50:00
>>> Theatre Name: Theatre12 || Theatre Number: 12 || SessionId: 252104 || Showtimes: 2019-01-18T23:40:00
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252011 || Showtimes: 2019-01-17T17:30:00
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252012 || Showtimes: 2019-01-17T20:30:00
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252013 || Showtimes: 2019-01-17T23:30:00
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252105 || Showtimes: 2019-01-18T11:30:00
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252106 || Showtimes: 2019-01-18T14:30:00
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252107 || Showtimes: 2019-01-18T17:30:00
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252108 || Showtimes: 2019-01-18T20:30:00
>>> Theatre Name: Theatre13 || Theatre Number: 13 || SessionId: 252109 || Showtimes: 2019-01-18T23:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252016 || Showtimes: 2019-01-17T17:50:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252017 || Showtimes: 2019-01-17T23:10:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252110 || Showtimes: 2019-01-18T11:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252111 || Showtimes: 2019-01-18T13:40:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252112 || Showtimes: 2019-01-18T16:20:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252119 || Showtimes: 2019-01-18T19:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 252113 || Showtimes: 2019-01-18T21:40:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251818 || Showtimes: 2019-01-31T12:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251819 || Showtimes: 2019-01-31T15:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251820 || Showtimes: 2019-01-31T17:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251821 || Showtimes: 2019-01-31T20:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251822 || Showtimes: 2019-01-31T22:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251828 || Showtimes: 2019-02-01T12:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251829 || Showtimes: 2019-02-01T15:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251830 || Showtimes: 2019-02-01T17:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251831 || Showtimes: 2019-02-01T20:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251832 || Showtimes: 2019-02-01T22:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251844 || Showtimes: 2019-02-02T12:30:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251845 || Showtimes: 2019-02-02T15:00:00
>>> Theatre Name: Theatre14 || Theatre Number: 14 || SessionId: 251846 || Showtimes: 2019-02-02T17:30:00
